,subid,uuid,gender,test_trial,age_in_years,option1,option2,trial_audio,selected_image,lang,parent_mask,peer_mask,own_mask
115,58616,34784a80-d60b-4f67-89d9-8c06da87a8ff,m,34-null,4.252054795,scared5,happy5,Scared_2_pause_2,option1,en,Often,Often,Often
116,58661,c99aa76e-6258-4289-b05a-5b6c19622944,f,11-null,3.030136986,happy3_2,angry1_2,Angry_1_pause_2,option2,en,Sometimes,Sometimes,Sometimes
117,58661,c99aa76e-6258-4289-b05a-5b6c19622944,f,12-null,3.030136986,angry3,sad6,Angry_2_pause_2,option1,en,Sometimes,Sometimes,Sometimes
118,58661,c99aa76e-6258-4289-b05a-5b6c19622944,f,13-null,3.030136986,scared3,sad5,Scared_2_pause_2,option1,en,Sometimes,Sometimes,Sometimes
119,58661,c99aa76e-6258-4289-b05a-5b6c19622944,f,14-null,3.030136986,angry5_2,happy4,Angry_2_pause_2,option1,en,Sometimes,Sometimes,Sometimes
120,58661,c99aa76e-6258-4289-b05a-5b6c19622944,f,16-null,3.030136986,sad4,scared4,Scared_1_pause_2,option2,en,Sometimes,Sometimes,Sometimes
121,58661,c99aa76e-6258-4289-b05a-5b6c19622944,f,17-null,3.030136986,sad1_2,angry2,Angry_1_pause_2,option2,en,Sometimes,Sometimes,Sometimes
122,58661,c99aa76e-6258-4289-b05a-5b6c19622944,f,18-null,3.030136986,sad2_2,happy3_2,Happy_1_pause_2,option2,en,Sometimes,Sometimes,Sometimes
123,58661,c99aa76e-6258-4289-b05a-5b6c19622944,f,19-null,3.030136986,angry4,scared5,Scared_2_pause_2,option1,en,Sometimes,Sometimes,Sometimes
124,58661,c99aa76e-6258-4289-b05a-5b6c19622944,f,20-null,3.030136986,happy4,angry3,Happy_2_pause_2,option1,en,Sometimes,Sometimes,Sometimes
125,58661,c99aa76e-6258-4289-b05a-5b6c19622944,f,21-null,3.030136986,sad3,scared1,Sad_2_pause_2,option1,en,Sometimes,Sometimes,Sometimes
126,58661,c99aa76e-6258-4289-b05a-5b6c19622944,f,22-null,3.030136986,happy2,scared2,Scared_2_pause_2,option2,en,Sometimes,Sometimes,Sometimes
